NO,ctg,syl,Barisal,ben,eng
1,ক্যান,খেমন,ক্যামন ,কেমন,How
2,হইয়্যেন,কোনখান,কোন্ডা,কোনটা?,Which one
3,হইক্কে,কোনবায় ,কোনদিগে ,কোনদিকে,Somewhere
4,আঁই,মুই,মুই,আমি,I
5,ভালা,ভালা ,ভালো,ভাল ,Fine
6,আছি,আছি,আছি,আছি,I am
7,নাই,নাই,নাই,নাই,No
8,তুঁই ,তুমি ,তুই,তুমি,You
9,আছন,আছ,আছো ,আছ,You are
10,কেন,কিলান,ক্যামন ,কেমন,How
11,ন ,না,না,না,No
12,লাগের,লাগছে,লাগছে,লাগছে,Feeling
13,কিরকেট,ক্রিকেট ,ক্রিকেট,ক্রিকেট ,Cricket
14,খেইল্যম,খেলাইতাম,খেলমু,খেলব,Will play
15,আর,আর,আর,আর,And
16,খাইত,খাইতে ,খাইতে,খেতে,To eat
17,মন‌অ ,ইচ্ছা,ইচ্ছা,ইচ্ছে ,Desire
18,করের্,খরছে,হরছে,করছে,Doing
19,ফ্যাট,ফেট,প্যাট,পেট,Stomach
20,ভরি,বরা,ভরা,ভরা,Full of
21,তোঁয়ার,তোমার,তোর,তোমার,Your
22,নাম,নাম,নাম,নাম,Name
23,কী,কিতা,কি,কী,What
24,আঁর,আমার,মোর,আমার,My
25,নয়ন,নয়ন ,চোখ,নয়ন,Noyon
26,য‌অর,যাইতাম ,যাইতাছো ,যাচ্ছ,Going
27,কডেত্তুন,কোনানো ,কোম্মে ,কোথা,Where
28,আইশ্যো,আইছো ,আইছো,আসছ,Are coming
29,তোঁয়ারে,তোমারে, তোমারে,তোমাকে ,You
30,ভালা লাগে,ভালা পাই,ভালবাসি,ভালবাসি,Love
31,মাস্টর,মাস্টর,মাস্টের ,মাস্টার,Master
32,বেঙ্গুরা,বেঙ্গুরা,বেঙ্গুরা,বেঙ্গুরা,Bengura
33,বোয়ালখালি,বোয়ালখালি,বোয়ালখালি,বোয়ালখালি,Boyalkhali
34,সুলতান,সুলতান,সুলতাইন্যা ,সুলতান,Sultan
35,থাহ,থাখক,থাউক,থাক,Stay
36,শান্তি,ভালা,ভালো,ভালো,Fine
37,নাই,নাই,নাই,নেই,No
38,বাংলাদেশ,বাংলাদেশ,বাংলাদেশ,বাংলাদেশ,Bangladesh
39,খঁইলজার টুঁরওঁ,হৃদয়,হৃদয়,হৃদয়,Heart
40,থাকি,থাকি,থাহি ,থাকি,Stay
41,বউত,অনেক,ভেমালা,অনেক,A lot
42,মঅব্বত,ফছনদ,পছন্দ,পছন্দ,Like
43,হারাপ,খারাপ,খারাপ,খারাপ,Bad
44,মাদারি,পুয়া,পোলা,ছেলে,Boy
45,ক্ষেতি আন ,খামার,ঘের,খামার,The farm
46,ফটু আন,ছবি,ছবি ,ছবি,Picture
47,ফাতা আন ,পাতা ,পাতা,পাতা ,Leaf
48,তার গান,তার,হ্যার,তার,His
49,দুওর গান,দুয়ার,দুয়ার ,দরজা,Door
50,ফাআর,পাহাড়,পাহাড়,পাহাড়,Hill
51,দেবাল্লান ,প্রাচীর,ব্যারা,প্রাচীর,The wall
52,কিতাপ্পো,বই ,বই,বই,Book
53,মানুষষো,মানুষ,মানু,মানুষ,Man
